ticker,asset_class,expense_ratio,price,change,change_pct,ytd,one_yr,five_yr,ten_yr,inception
VFIAX,Stock - Large-Cap Blend,0.04%,$239.87 ,-$5.94decreased,-2.42%decreased,-0.95%,6.23%,11.08%,14.30%,6.09%(11/13/2000)
VBIAX,Balanced,0.07%,$33.78 ,-$0.35decreased,-1.03%decreased,-1.15%,2.98%,7.23%,10.35%,6.08%(11/13/2000)
VCAIX,Bond - Inter-term State Muni,0.19%,$11.55 ,$0.00 ,0.00%,0.55%,1.00%,3.10%,4.43%,4.60%(03/04/1994)
VCITX,Bond - Long-term State Muni,0.19%,$11.83 ,$0.00 ,0.00%,-0.08%,0.71%,4.36%,5.40%,5.81%(04/07/1986)
VCTXX,Money Market,0.16%,$1.00 ,$0.00 ,0.00%,1.15%,1.18%,0.42%,0.27%,2.24%(06/01/1987)
VHCAX,Stock - Mid-Cap Growth,0.37%,$153.03 ,-$2.86decreased,-1.83%decreased,-0.37%,8.01%,13.84%,17.86%,11.14%(11/12/2001)
VCVLX,Stock - Mid-Cap Value,0.27%,$11.97 ,-$0.19decreased,-1.56%decreased,-10.07%,-1.70%,3.58%,15.18%,6.06%(12/17/2001)
VCVSX,Balanced,0.35%,$13.17 ,-$0.06decreased,-0.45%decreased,-1.08%,0.04%,3.52%,10.28%,7.86%(06/17/1986)
VCORX,Bond - Inter-term Investment,0.25%,$9.53 ,$0.01increased,0.11%increased,-1.82%,-2.19%,,,0.48%(03/28/2016)
VTMGX,International,0.07%,$12.26 ,-$0.19decreased,-1.53%decreased,-13.21%,-8.09%,2.29%,7.72%,3.80%(08/17/1999)
VDEQX,Stock - Large-Cap Blend,0.36%,$34.25 ,-$0.65decreased,-1.86%decreased,-1.97%,5.57%,9.86%,14.60%,8.28%(06/10/2005)
VDADX,Stock - Large-Cap Blend,0.08%,$27.47 ,-$0.78decreased,-2.76%decreased,1.29%,8.91%,,,10.23%(12/19/2013)
VDIGX,Stock - Large-Cap Blend,0.26%,$26.98 ,-$0.53decreased,-1.93%decreased,3.55%,10.64%,10.37%,13.33%,8.60%(05/15/1992)
VEMBX,International,0.60%,$10.14 ,$0.00 ,0.00%,-0.79%,-1.23%,,,7.42%(03/10/2016)
VGAVX,International,0.32%,$18.76 ,$0.01increased,0.05%increased,-2.98%,-4.49%,3.95%,,2.97%(05/31/2013)
VMMSX,International,0.92%,$19.98 ,-$0.29decreased,-1.43%decreased,-12.29%,-7.64%,1.99%,,1.58%(06/27/2011)
VEMAX,International,0.14%,$32.08 ,-$0.43decreased,-1.32%decreased,-14.29%,-8.90%,1.74%,8.66%,4.88%(06/23/2006)
VGENX,Stock - Sector,0.38%,$46.83 ,-$1.10decreased,-2.30%decreased,-12.73%,-3.81%,-2.66%,4.50%,10.16%(05/23/1984)
VEIPX,Stock - Large-Cap Value,0.26%,$35.58 ,-$0.60decreased,-1.66%decreased,-2.55%,4.52%,9.93%,13.26%,10.21%(03/21/1988)
VEUSX,International,0.10%,$61.96 ,-$0.89decreased,-1.42%decreased,-13.87%,-9.30%,1.21%,7.51%,5.11%(08/13/2001)
VEXPX,Stock - Small-Cap Growth,0.44%,$96.23 ,-$1.61decreased,-1.65%decreased,1.28%,10.67%,9.23%,16.05%,9.36%(12/11/1967)
VEVFX,Stock - Small-Cap Value,0.55%,$32.90 ,-$0.52decreased,-1.56%decreased,-10.26%,-1.65%,6.75%,,11.32%(03/30/2010)
VEXAX,Stock - Mid-Cap Blend,0.08%,$79.18 ,-$1.12decreased,-1.39%decreased,-5.65%,1.97%,8.33%,15.53%,7.93%(11/13/2000)
VMFXX,Money Market,0.11%,$1.00 ,$0.00 ,0.00%,1.67%,1.69%,0.55%,0.34%,4.19%(07/13/1981)
VFWAX,International,0.11%,$29.00 ,-$0.42decreased,-1.43%decreased,-12.89%,-7.89%,2.20%,,6.00%(09/27/2011)
VFSVX,International,0.25%,$37.06 ,-$0.58decreased,-1.54%decreased,-17.55%,-11.08%,2.59%,,9.85%(04/02/2009)
VFTSX,Stock - Large-Cap Growth,0.18%,$17.23 ,-$0.35decreased,-1.99%decreased,-0.28%,7.03%,11.69%,15.80%,4.67%(05/31/2000)
VGPMX,International,0.37%,$7.22 ,-$0.12decreased,-1.63%decreased,-30.83%,-23.09%,-4.61%,-0.51%,3.38%(05/23/1984)
VGCIX,International,0.35%,$10.07 ,$0.02increased,0.20%increased,,,,,-0.20%(11/15/2018)
